/System/Library/Frameworks/Python.framework/Versions/2.6/bin/python2.6 /Users/no/TowersCorvallis/main.py
***** Running the Towers of Corvallis with the following settings
***** VERBOSE = 	False
***** MODE = 		TIMING
***** FILENAME = 	perms-10.txt
***** NMAX = 	2500
***** BEAM WIDTH = 5
***** SEARCH FN = BEAM
***** HEURISTIC FN = WEIGHTED_MANHATTAN_DISTANCE_ALL_PEG
***** PROBLEM Size = 10


***** Testing Timing, overriding certain flags
Search Function 	 Beam Width 	 Heuristic 	 Problem Size	Avg Solution Depth 	 Avg Nodes Expanded 	 Avg Heuristic Eval Time 	 Avg Total Time	Max Solution Depth 	 Max Nodes Expanded 	 Max Heuristic Eval Time 	 Max Total Time	Min Solution Depth 	 Min Nodes Expanded 	 Min Heuristic Eval Time 	 Min Total Time
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	0.000256633758545	0.00801839828491 	7	11	0.000358104705811	0.0113079547882 	4	5	0.00010871887207	0.00295615196228
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.000284004211426	0.0129647254944 	11	23	0.000709056854248	0.0337920188904 	4	5	0.00010871887207	0.00315189361572
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	18	0.000405836105347	0.0221717596054 	15	37	0.000775575637817	0.0524210929871 	6	11	0.000213146209717	0.0116040706635
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	17	31	0.000702965259552	0.0537086844444 	30	62	0.00136256217957	0.152312994003 	11	15	0.000331878662109	0.0157740116119
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	40	107	0.0023676276207	0.715741097927 	158	489	0.0107216835022	5.52307105064 	15	18	0.000511884689331	0.0300080776215
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	54	148	0.00402816534042	1.98145135641 	216	780	0.0228936672211	16.9542398453 	17	21	0.000635147094727	0.0349698066711
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	153	607	0.0197152853012	25.1073461175 	574	2500	0.0871984958649	178.208797216 	0	35	0.00110983848572	0.0932991504669
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	55	162	0.00495635271072	1.478399086 	180	620	0.0191955566406	10.2491140366 	0	34	0.001225233078	0.0860710144043
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	3 	5	5	6.14643096924e-05	0.00301442146301 	7	7	7.77244567871e-05	0.00436806678772 	4	4	4.26769256592e-05	0.00149297714233
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	4 	7	8	0.000101149082184	0.00541135072708 	10	11	0.000141143798828	0.00859403610229 	4	4	4.4584274292e-05	0.00147294998169
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	5 	11	11	0.000193738937378	0.0125096797943 	15	15	0.000287532806396	0.0213239192963 	6	6	7.20024108887e-05	0.00314497947693
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	6 	13	14	0.000260305404663	0.0176200985909 	16	20	0.000401973724365	0.0291631221771 	10	10	0.000186681747437	0.0108089447021
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	7 	16	17	0.000385820865631	0.029025053978 	23	27	0.000642776489258	0.0593519210815 	13	13	0.0002601146698	0.016685962677
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	8 	20	21	0.000537073612213	0.0426479458809 	28	31	0.000826835632324	0.0778651237488 	17	17	0.000333070755005	0.023866891861
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	9 	24	27	0.000796377658844	0.0711658596992 	39	52	0.00158143043518	0.184913873672 	18	19	0.0005042552948	0.033509016037
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	10 	28	30	0.000938999652863	0.0886439561844 	39	49	0.00177073478699	0.194898843765 	23	23	0.000617027282715	0.0485770702362
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	8.76903533936e-05	0.00357542037964 	7	11	0.000109910964966	0.00481390953064 	4	5	7.17639923096e-05	0.00200510025024
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.00020934343338	0.0111311912537 	11	23	0.00050687789917	0.0260939598083 	4	5	9.46521759033e-05	0.00258016586304
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	19	0.000342869758606	0.020921754837 	15	47	0.000874757766724	0.076385974884 	6	11	0.000179529190063	0.00892996788025
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	17	34	0.000739336013794	0.0590717554092 	35	104	0.00197649002075	0.256072044373 	11	15	0.000270366668701	0.014044046402
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	25	88	0.00206421613693	0.450037205219 	110	651	0.0150167942047	6.1551990509 	15	18	0.0005943775177	0.0295991897583
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	40	151	0.00387426614761	1.34215819836 	133	711	0.017951965332	9.17255997658 	17	21	0.000663280487061	0.0333769321442
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	91	487	0.015065741539	9.34406677485 	250	1495	0.0493428707123	43.2088630199 	24	35	0.0011203289032	0.0963480472565
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	56	525	0.0177804589272	17.7841166735 	348	2500	0.0864472389221	113.984932899 	0	34	0.0014009475708	0.0978140830994
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	3 	5	5	6.04629516602e-05	0.00281581878662 	7	7	7.48634338379e-05	0.00390601158142 	4	4	4.57763671875e-05	0.00148701667786
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	4 	7	8	9.98973846436e-05	0.00534563064575 	10	11	0.000141143798828	0.00863599777222 	4	4	4.17232513428e-05	0.00146508216858
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	5 	11	11	0.000197637081146	0.0126484513283 	15	15	0.000298261642456	0.0218930244446 	6	6	8.13007354736e-05	0.00362396240234
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	6 	13	14	0.000274205207825	0.0184732794762 	16	20	0.000398874282837	0.0289709568024 	10	10	0.000195741653442	0.0111248493195
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	7 	16	17	0.00037853717804	0.0280792236328 	23	30	0.000697135925293	0.066123008728 	13	13	0.000277757644653	0.018355846405
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	8 	20	21	0.000537264347076	0.0422013401985 	28	31	0.000859498977661	0.0846829414368 	17	17	0.000328779220581	0.022449016571
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	9 	24	27	0.000796318054199	0.0716040015221 	39	52	0.00177836418152	0.214564085007 	18	19	0.00049614906311	0.0336699485779
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	10 	28	30	0.000945687294006	0.0887422680855 	39	49	0.00172972679138	0.197403907776 	23	23	0.000619888305664	0.0479550361633
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	0.000108480453491	0.00428295135498 	7	11	0.000131607055664	0.00610899925232 	4	5	8.08238983154e-05	0.00209879875183
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.000197768211365	0.0103901147842 	11	23	0.000376224517822	0.0234339237213 	4	5	8.36849212646e-05	0.00203013420105
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	19	0.000342404842377	0.0208597779274 	15	47	0.00101709365845	0.0847570896149 	6	11	0.000204086303711	0.0087730884552
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	16	35	0.000729429721832	0.0602282166481 	26	125	0.00231003761292	0.281063079834 	11	15	0.000284671783447	0.0144100189209
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	20	62	0.00145123004913	0.150099360943 	33	163	0.00370144844055	0.442873954773 	15	18	0.000478506088257	0.0245001316071
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	31	121	0.0030956864357	0.67975051403 	73	479	0.0124304294586	3.99692082405 	17	21	0.000583171844482	0.0302450656891
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	40	194	0.00558557510376	1.26535580158 	99	628	0.0184187889099	6.91199183464 	24	35	0.00110793113708	0.0904908180237
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	55	293	0.00922387838364	3.48672560453 	161	1275	0.0407562255859	24.8701300621 	26	34	0.00133848190308	0.0929579734802
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	3 	5	5	5.97953796387e-05	0.00278463363647 	7	7	7.84397125244e-05	0.00394582748413 	4	4	4.41074371338e-05	0.00150203704834
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	4 	7	8	0.000101280212402	0.00545256137848 	10	11	0.000145673751831	0.00862288475037 	4	4	4.38690185547e-05	0.00146412849426
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	5 	11	11	0.000201737880707	0.0124569177628 	15	15	0.000429630279541	0.0187389850616 	6	6	7.53402709961e-05	0.00315690040588
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	6 	13	14	0.000266063213348	0.0180733680725 	16	20	0.000386714935303	0.0268108844757 	10	10	0.000181674957275	0.0100059509277
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	7 	16	17	0.000389873981476	0.0296662688255 	23	30	0.000744342803955	0.0784959793091 	13	13	0.000280857086182	0.0178420543671
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	8 	20	21	0.000524234771729	0.0423140048981 	28	31	0.000802516937256	0.0775771141052 	17	17	0.000335693359375	0.0232200622559
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	9 	24	27	0.000794756412506	0.0710291028023 	39	52	0.00157570838928	0.187103033066 	18	19	0.000500440597534	0.033704996109
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	10 	28	30	0.000972425937653	0.0913336992264 	39	49	0.00187110900879	0.202821969986 	23	23	0.000661134719849	0.0533618927002
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	9.01699066162e-05	0.00363140106201 	7	11	0.000111818313599	0.00484180450439 	4	5	7.29560852051e-05	0.00202107429504
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.000198209285736	0.0102873444557 	11	23	0.000389337539673	0.0255630016327 	4	5	8.34465026855e-05	0.00203680992126
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	19	0.000339865684509	0.0210668206215 	15	47	0.000829935073853	0.0780718326569 	6	11	0.000218391418457	0.0108189582825
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	16	35	0.000714004039764	0.0592072844505 	26	125	0.00237321853638	0.286889076233 	11	15	0.000271081924438	0.0138399600983
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	20	61	0.00138733386993	0.143007159233 	33	163	0.00340056419373	0.38774895668 	15	18	0.000469207763672	0.0244131088257
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	33	148	0.00387741327286	1.03232820034 	79	680	0.0177412033081	6.76533889771 	17	21	0.000606775283813	0.035817861557
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	33	143	0.00415292978287	0.658139932156 	44	341	0.00926756858826	2.10966396332 	24	35	0.00111794471741	0.0940721035004
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	53	325	0.0104316830635	4.12049645185 	145	1480	0.0477316379547	29.5479099751 	26	34	0.00119471549988	0.0816061496735
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	3 	5	5	5.94139099121e-05	0.00277719497681 	7	7	7.65323638916e-05	0.00392699241638 	4	4	4.50611114502e-05	0.00150990486145
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	4 	7	8	9.93728637695e-05	0.00532084703445 	10	11	0.000143051147461	0.00866794586182 	4	4	4.43458557129e-05	0.00147008895874
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	5 	11	11	0.000199961662292	0.0127415299416 	15	15	0.000284194946289	0.0214438438416 	6	6	7.39097595215e-05	0.00314688682556
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	6 	13	14	0.000263738632202	0.0180024385452 	16	20	0.000405788421631	0.0276489257812 	10	10	0.00018572807312	0.0116949081421
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	7 	16	17	0.000382578372955	0.0279094099998 	23	30	0.000817775726318	0.0673789978027 	13	13	0.000248193740845	0.0144610404968
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	8 	20	21	0.00052193403244	0.0420303702354 	28	31	0.000797748565674	0.079619884491 	17	17	0.000322818756104	0.022204875946
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	9 	24	27	0.000786459445953	0.0707659482956 	39	52	0.00157952308655	0.184833049774 	18	19	0.000516653060913	0.0365700721741
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	10 	28	30	0.000934517383575	0.0891917586327 	39	49	0.00168466567993	0.192202806473 	23	23	0.000635385513306	0.0479249954224
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	9.04083251953e-05	0.0035952091217 	7	11	0.000115156173706	0.00483393669128 	4	5	7.29560852051e-05	0.00203204154968
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.000188899040222	0.00985746383667 	11	23	0.000358819961548	0.0226540565491 	4	5	8.63075256348e-05	0.00204992294312
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	19	0.000352776050568	0.0213950157166 	15	47	0.000885009765625	0.0770139694214 	6	11	0.000205278396606	0.00874590873718
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	16	35	0.000722849369049	0.0594169020653 	26	125	0.00246810913086	0.282161951065 	11	15	0.000279188156128	0.0137917995453
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	20	61	0.00139067173004	0.141267871857 	33	163	0.00342655181885	0.380547046661 	15	18	0.000473499298096	0.0244569778442
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	33	155	0.00403995513916	1.1105809927 	79	722	0.0184984207153	7.18977308273 	17	21	0.00058913230896	0.0314090251923
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	33	146	0.00412130355835	0.66963956356 	44	366	0.00953364372253	2.2893269062 	24	35	0.0011100769043	0.0928120613098
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	42	234	0.00705913305283	1.68692946434 	78	714	0.0211019515991	7.25467705727 	26	34	0.00122570991516	0.0825860500336
