/System/Library/Frameworks/Python.framework/Versions/2.6/bin/python2.6 /Users/no/TowersCorvallis/main.py
***** Running the Towers of Corvallis with the following settings
***** VERBOSE = 	False
***** MODE = 		TIMING
***** FILENAME = 	perms-3.txt
***** NMAX = 	500
***** BEAM WIDTH = 30
***** SEARCH FN = A_STAR
***** HEURISTIC FN = WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG
***** PROBLEM Size = 10


***** Testing Timing, overriding certain flags
Search Function 	 Beam Width 	 Heuristic 	 Problem Size	Failures	Avg Solution Depth 	 Avg Nodes Expanded 	 Avg Heuristic Eval Time 	 Avg Total Time	Max Solution Depth 	 Max Nodes Expanded 	 Max Heuristic Eval Time 	 Max Total Time	Min Solution Depth 	 Min Nodes Expanded 	 Min Heuristic Eval Time 	 Min Total Time
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	0.0001758	0.0065184 	7	8	0.000253	0.009578 	4	4	0.000125	0.004809
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.0001441	0.0068124 	10	15	0.000241	0.011774 	4	4	5.09999999999e-05	0.001499
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.0002529	0.0138677 	15	16	0.000411	0.020607 	6	6	9e-05	0.003927
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.00040155	0.024166 	18	28	0.000703	0.043382 	10	10	0.000242	0.012448
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.0004584	0.02900165 	19	28	0.000739	0.047738 	13	13	0.000297	0.016048
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	8	0 	20	29	0.000961200000001	0.08454835 	41	111	0.004096	0.483527 	17	18	0.000453999999999	0.028125
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	9	0 	27	48	0.00160915	0.3128255 	104	393	0.012789	4.694828 	18	19	0.000527999999996	0.035162
BEAM	5	MANHATTAN_DISTANCE_ALL_PEG	10	1 	26	41	0.0014397	0.14868475 	56	162	0.005383	0.983912 	23	23	0.000656999999986	0.050346
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	14	0.000181400000002	0.0075522 	7	20	0.000211	0.010374 	4	9	0.000123000000009	0.004163
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	3 	6	23	0.000362650000001	0.0192173 	10	62	0.00082299999999	0.064295 	4	9	0.000171999999999	0.004851
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	1 	13	51	0.000888549999997	0.06513025 	23	99	0.00190299999997	0.173053 	6	19	0.000380000000003	0.012741
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	0 	25	116	0.00259280000002	0.3601294 	70	360	0.00780100000007	2.188287 	11	33	0.00057900000002	0.025781
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	3 	31	152	0.00398749999999	0.6927124 	89	438	0.012607	3.724561 	17	59	0.00163299999997	0.095071
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	7 	25	125	0.00384389999999	0.61653625 	83	411	0.0124839999996	3.289116 	18	79	0.00235999999994	0.15389
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	9 	24	112	0.00364845000001	0.598012 	78	388	0.0127859999997	3.071805 	22	96	0.00317699999997	0.225783
BEAM	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	12 	22	106	0.00394644999996	0.70216215 	100	475	0.0175220000001	4.704208 	24	111	0.00378800000004	0.276965
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	7.12000000135e-05	0.0030772 	7	8	9.50000001012e-05	0.00452100000001 	4	4	4.89999999616e-05	0.00151700000001
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000120349999985	0.00576765 	10	15	0.000227999999879	0.011225 	4	4	4.99999999874e-05	0.00151200000002
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000231050000001	0.01295205 	15	16	0.000336000000004	0.019696 	6	6	8.39999999869e-05	0.003208
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000357250000006	0.021876 	18	28	0.000669999999957	0.04068 	10	10	0.000205000000051	0.010108
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000455100000005	0.02884485 	19	28	0.000685000000004	0.043681 	13	13	0.000309000000129	0.01737
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000729849999986	0.0532728 	28	55	0.00155499999997	0.149307 	17	18	0.000444999999957	0.028795
BEAM	10	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	30	0.00101345000001	0.0781653 	28	57	0.00184799999997	0.155114 	18	19	0.000491000000011	0.032081
